Case,Case Name,Answer Correct?
1,Case_001,yes
2,Case_002,yes
3,Case_003,no
4,Case_004,yes
5,Case_005,no
6,Case_006,no
7,Case_007,no
8,Case_008,no
9,Case_009,no
10,Case_010,no
11,Case_011,no
12,Case_012,no
13,Case_013,yes
14,Case_014,yes
15,Case_015,yes
16,Case_016,no
17,Case_017,no
18,Case_018,no
19,Case_019,no
20,Case_020,no
21,Case_021,no
22,Case_022,yes
23,Case_023,no
24,Case_024,no
25,Case_025,no
26,Case_026,yes
27,Case_027,yes
28,Case_028,yes
29,Case_029,yes
30,Case_030,yes
31,Case_031,yes
32,Case_032,yes
33,Case_033,no
34,Case_034,no
35,Case_035,no
36,Case_036,no
37,Case_037,yes
38,Case_038,no
39,Case_039,yes
40,Case_040,no
41,Case_041,yes
42,Case_042,no
43,Case_043,no
44,Case_044,yes
45,Case_045,yes
46,Case_046,no
47,Case_047,no
48,Case_048,no
49,Case_049,yes
50,Case_050,no
51,Case_051,yes
52,Case_052,no
53,Case_053,no
54,Case_054,yes
55,Case_055,no
56,Case_056,no
57,Case_057,yes
58,Case_058,yes
59,Case_059,no
60,Case_060,no
61,Case_061,no
62,Case_062,yes
63,Case_063,yes
64,Case_064,no
65,Case_065,no
66,Case_066,no
67,Case_067,yes
68,Case_068,no
69,Case_069,no
70,Case_070,no
71,Case_071,yes
72,Case_072,yes
73,Case_073,no
74,Case_074,no
75,Case_075,yes
76,Case_076,yes
77,Case_077,yes
78,Case_078,yes
79,Case_079,no
80,Case_080,no
81,Case_081,yes
82,Case_082,no
83,Case_083,yes
84,Case_084,no
85,Case_085,yes
86,Case_086,yes
87,Case_087,yes
88,Case_088,yes
89,Case_089,no
90,Case_090,yes
91,Case_091,yes
92,Case_092,no
93,Case_093,no
94,Case_094,no
95,Case_095,yes
96,Case_096,yes
97,Case_097,yes
98,Case_098,yes
99,Case_099,yes
100,Case_100,no
101,Case_101,no
102,Case_102,no
103,Case_103,yes
104,Case_104,yes
105,Case_105,yes
106,Case_106,yes
107,Case_107,no
108,Case_108,no
109,Case_109,yes
110,Case_110,no
111,Case_111,yes
112,Case_112,no
113,Case_113,no
114,Case_114,no
115,Case_115,no
116,Case_116,no
117,Case_117,yes
118,Case_118,no
119,Case_119,no
120,Case_120,yes
121,Case_121,no
122,Case_122,yes
123,Case_123,yes
124,Case_124,no
125,Case_125,yes
126,Case_126,no
127,Case_127,yes
128,Case_128,yes
129,Case_129,yes
130,Case_130,no
131,Case_131,yes
132,Case_132,yes
133,Case_133,yes
134,Case_134,no
135,Case_135,yes
136,Case_136,yes
137,Case_137,yes
138,Case_138,yes
139,Case_139,no
140,Case_140,yes
141,Case_141,no
142,Case_142,no
143,Case_143,yes
144,Case_144,yes
145,Case_145,yes
146,Case_146,yes
147,Case_147,yes
148,Case_148,no
149,Case_149,yes
150,Case_150,no
